timestamp,total_consumption_mw,residential_mw,commercial_mw,industrial_mw,grid_frequency_hz,voltage_kv
2025-05-30 19:13:06.302036,13940.3,6273.13,4879.1,2788.06,49.99,133.3
2025-05-30 20:13:06.302036,14638.32,6587.24,5123.41,2927.66,49.98,131.5
2025-05-30 21:13:06.302036,14676.53,6604.44,5136.79,2935.31,50.08,131.1
2025-05-30 22:13:06.302036,13971.48,6287.17,4890.02,2794.3,49.95,131.1
2025-05-30 23:13:06.302036,9833.6,4425.12,3441.76,1966.72,49.81,128.6
2025-05-31 00:13:06.302036,4815.87,2167.14,1685.56,963.17,49.9,132.6
2025-05-31 01:13:06.302036,4730.21,2128.6,1655.58,946.04,49.86,134.9
2025-05-31 02:13:06.302036,4899.25,2204.66,1714.74,979.85,50.01,129.2
2025-05-31 03:13:06.302036,4820.31,2169.14,1687.11,964.06,50.01,129.7
2025-05-31 04:13:06.302036,5048.27,2271.72,1766.89,1009.65,49.94,131.4
2025-05-31 05:13:06.302036,4806.11,2162.75,1682.14,961.22,50.19,132.0
2025-05-31 06:13:06.302036,10168.44,4575.8,3558.96,2033.69,50.08,129.6
2025-05-31 07:13:06.302036,10848.36,4881.76,3796.92,2169.67,49.8,129.3
2025-05-31 08:13:06.302036,10841.91,4878.86,3794.67,2168.38,50.07,132.3
2025-05-31 09:13:06.302036,10674.15,4803.37,3735.95,2134.83,49.97,129.0
2025-05-31 10:13:06.302036,7961.4,3582.63,2786.49,1592.28,49.95,134.1
2025-05-31 11:13:06.302036,8400.53,3780.24,2940.19,1680.11,49.82,132.6
2025-05-31 12:13:06.302036,8099.63,3644.83,2834.87,1619.93,49.93,133.2
2025-05-31 13:13:06.302036,8684.38,3907.97,3039.53,1736.88,50.09,130.3
2025-05-31 14:13:06.302036,8130.96,3658.93,2845.84,1626.19,50.03,134.0
2025-05-31 15:13:06.302036,8060.78,3627.35,2821.27,1612.16,49.98,129.8
2025-05-31 16:13:06.302036,7764.69,3494.11,2717.64,1552.94,50.08,134.7
2025-05-31 17:13:06.302036,8228.91,3703.01,2880.12,1645.78,50.1,132.7
2025-05-31 18:13:06.302036,11189.15,5035.12,3916.2,2237.83,50.04,135.1
2025-05-31 19:13:06.302036,11541.39,5193.63,4039.49,2308.28,50.16,126.8
2025-05-31 20:13:06.302036,12037.25,5416.76,4213.04,2407.45,50.01,131.4
2025-05-31 21:13:06.302036,11615.15,5226.82,4065.3,2323.03,49.8,131.6
2025-05-31 22:13:06.302036,11768.55,5295.85,4118.99,2353.71,50.15,131.0
2025-05-31 23:13:06.302036,7924.79,3566.16,2773.68,1584.96,49.95,133.8
2025-06-01 00:13:06.302036,5036.64,2266.49,1762.82,1007.33,49.95,133.0
2025-06-01 01:13:06.302036,4979.24,2240.66,1742.73,995.85,50.1,130.6
2025-06-01 02:13:06.302036,4874.0,2193.3,1705.9,974.8,49.96,129.1
2025-06-01 03:13:06.302036,5028.55,2262.85,1759.99,1005.71,50.03,132.0
2025-06-01 04:13:06.302036,4897.06,2203.68,1713.97,979.41,49.86,131.2
2025-06-01 05:13:06.302036,4870.28,2191.62,1704.6,974.06,49.92,131.7
2025-06-01 06:13:06.302036,10953.14,4928.91,3833.6,2190.63,50.19,132.3
2025-06-01 07:13:06.302036,10874.49,4893.52,3806.07,2174.9,49.99,128.2
2025-06-01 08:13:06.302036,10722.0,4824.9,3752.7,2144.4,50.01,136.9
2025-06-01 09:13:06.302036,10632.97,4784.84,3721.54,2126.59,50.03,131.9
2025-06-01 10:13:06.302036,7776.06,3499.23,2721.62,1555.21,50.11,133.5
2025-06-01 11:13:06.302036,8585.29,3863.38,3004.85,1717.06,49.91,134.8
2025-06-01 12:13:06.302036,7679.77,3455.9,2687.92,1535.95,50.06,136.4
2025-06-01 13:13:06.302036,7849.62,3532.33,2747.37,1569.92,49.94,132.2
2025-06-01 14:13:06.302036,8050.74,3622.83,2817.76,1610.15,49.84,132.1
2025-06-01 15:13:06.302036,7819.98,3518.99,2736.99,1564.0,50.05,130.2
2025-06-01 16:13:06.302036,8898.66,4004.4,3114.53,1779.73,49.92,131.4
2025-06-01 17:13:06.302036,8594.57,3867.56,3008.1,1718.91,49.88,132.5
2025-06-01 18:13:06.302036,12317.77,5542.99,4311.22,2463.55,49.84,132.4
2025-06-01 19:13:06.302036,11712.34,5270.55,4099.32,2342.47,50.08,129.5
2025-06-01 20:13:06.302036,10798.74,4859.43,3779.56,2159.75,50.05,132.6
2025-06-01 21:13:06.302036,11706.91,5268.11,4097.42,2341.38,50.03,130.6
2025-06-01 22:13:06.302036,11696.37,5263.37,4093.73,2339.27,50.03,130.6
2025-06-01 23:13:06.302036,9029.08,4063.09,3160.18,1805.82,50.05,129.6
2025-06-02 00:13:06.302036,6021.0,2709.45,2107.35,1204.2,49.9,133.6
2025-06-02 01:13:06.302036,6167.34,2775.3,2158.57,1233.47,49.92,133.9
2025-06-02 02:13:06.302036,5949.95,2677.48,2082.48,1189.99,50.08,135.8
2025-06-02 03:13:06.302036,5758.1,2591.15,2015.34,1151.62,49.92,130.2
2025-06-02 04:13:06.302036,5591.84,2516.33,1957.14,1118.37,49.99,132.7
2025-06-02 05:13:06.302036,5910.28,2659.63,2068.6,1182.06,50.08,132.0
2025-06-02 06:13:06.302036,13548.84,6096.98,4742.09,2709.77,49.97,137.4
2025-06-02 07:13:06.302036,13026.0,5861.7,4559.1,2605.2,49.91,129.9
2025-06-02 08:13:06.302036,12935.57,5821.01,4527.45,2587.11,49.98,133.4
2025-06-02 09:13:06.302036,12929.74,5818.38,4525.41,2585.95,49.99,130.3
2025-06-02 10:13:06.302036,8980.13,4041.06,3143.05,1796.03,49.96,133.7
2025-06-02 11:13:06.302036,9820.06,4419.03,3437.02,1964.01,49.88,132.3
2025-06-02 12:13:06.302036,9903.24,4456.46,3466.13,1980.65,49.91,132.3
2025-06-02 13:13:06.302036,9744.33,4384.95,3410.52,1948.87,49.89,132.7
2025-06-02 14:13:06.302036,9988.48,4494.82,3495.97,1997.7,50.11,134.1
2025-06-02 15:13:06.302036,9046.78,4071.05,3166.37,1809.36,49.91,133.0
2025-06-02 16:13:06.302036,9965.65,4484.54,3487.98,1993.13,50.05,139.7
2025-06-02 17:13:06.302036,9993.39,4497.03,3497.69,1998.68,50.11,133.9
2025-06-02 18:13:06.302036,14045.5,6320.47,4915.92,2809.1,49.97,133.5
2025-06-02 19:13:06.302036,13076.85,5884.58,4576.9,2615.37,49.98,131.0
2025-06-02 20:13:06.302036,13658.16,6146.17,4780.35,2731.63,50.23,128.3
2025-06-02 21:13:06.302036,14069.21,6331.15,4924.22,2813.84,49.84,131.1
2025-06-02 22:13:06.302036,14343.09,6454.39,5020.08,2868.62,50.01,129.8
2025-06-02 23:13:06.302036,9368.55,4215.85,3278.99,1873.71,50.07,130.5
2025-06-03 00:13:06.302036,5892.72,2651.73,2062.45,1178.54,50.0,130.7
2025-06-03 01:13:06.302036,6454.55,2904.55,2259.09,1290.91,50.06,127.9
2025-06-03 02:13:06.302036,5883.98,2647.79,2059.39,1176.8,49.93,133.7
2025-06-03 03:13:06.302036,5598.63,2519.38,1959.52,1119.73,49.99,133.0
2025-06-03 04:13:06.302036,6081.98,2736.89,2128.69,1216.4,49.88,131.3
2025-06-03 05:13:06.302036,5691.19,2561.04,1991.92,1138.24,49.93,135.5
2025-06-03 06:13:06.302036,12886.63,5798.98,4510.32,2577.33,49.87,133.8
2025-06-03 07:13:06.302036,13971.1,6286.99,4889.88,2794.22,50.1,129.0
2025-06-03 08:13:06.302036,12325.05,5546.27,4313.77,2465.01,50.13,130.6
2025-06-03 09:13:06.302036,12911.16,5810.02,4518.91,2582.23,50.08,130.1
2025-06-03 10:13:06.302036,9687.13,4359.21,3390.5,1937.43,49.68,130.0
2025-06-03 11:13:06.302036,9593.35,4317.01,3357.67,1918.67,49.88,135.3
2025-06-03 12:13:06.302036,9021.28,4059.58,3157.45,1804.26,49.96,132.3
2025-06-03 13:13:06.302036,10416.23,4687.3,3645.68,2083.25,49.86,134.3
2025-06-03 14:13:06.302036,9721.02,4374.46,3402.36,1944.2,49.9,132.9
2025-06-03 15:13:06.302036,9812.75,4415.74,3434.46,1962.55,49.94,132.1
2025-06-03 16:13:06.302036,9528.86,4287.99,3335.1,1905.77,50.01,133.3
2025-06-03 17:13:06.302036,10486.54,4718.94,3670.29,2097.31,49.88,136.3
2025-06-03 18:13:06.302036,12274.81,5523.66,4296.18,2454.96,49.98,133.2
2025-06-03 19:13:06.302036,13793.58,6207.11,4827.75,2758.72,49.94,131.6
2025-06-03 20:13:06.302036,13267.17,5970.23,4643.51,2653.43,49.94,133.7
2025-06-03 21:13:06.302036,13845.29,6230.38,4845.85,2769.06,49.93,133.8
2025-06-03 22:13:06.302036,13811.47,6215.16,4834.02,2762.29,50.08,133.3
2025-06-03 23:13:06.302036,9313.32,4191.0,3259.66,1862.66,49.94,133.5
2025-06-04 00:13:06.302036,6007.54,2703.39,2102.64,1201.51,50.0,132.2
2025-06-04 01:13:06.302036,6202.05,2790.92,2170.72,1240.41,49.94,133.1
2025-06-04 02:13:06.302036,5770.7,2596.81,2019.74,1154.14,49.98,134.2
2025-06-04 03:13:06.302036,6070.22,2731.6,2124.58,1214.04,50.08,134.6
2025-06-04 04:13:06.302036,5835.75,2626.09,2042.51,1167.15,50.07,131.4
2025-06-04 05:13:06.302036,5924.12,2665.85,2073.44,1184.82,49.99,132.2
2025-06-04 06:13:06.302036,13006.73,5853.03,4552.36,2601.35,49.92,136.2
2025-06-04 07:13:06.302036,11995.52,5397.99,4198.43,2399.1,49.88,134.3
2025-06-04 08:13:06.302036,13130.84,5908.88,4595.79,2626.17,50.06,133.3
2025-06-04 09:13:06.302036,12623.13,5680.41,4418.1,2524.63,49.91,132.2
2025-06-04 10:13:06.302036,9387.08,4224.19,3285.48,1877.42,50.1,131.7
2025-06-04 11:13:06.302036,9315.02,4191.76,3260.26,1863.0,49.97,132.8
2025-06-04 12:13:06.302036,9442.19,4248.99,3304.77,1888.44,49.92,132.5
2025-06-04 13:13:06.302036,9835.06,4425.78,3442.27,1967.01,49.95,131.1
2025-06-04 14:13:06.302036,9828.78,4422.95,3440.07,1965.76,49.86,129.2
2025-06-04 15:13:06.302036,9367.03,4215.16,3278.46,1873.41,49.98,132.6
2025-06-04 16:13:06.302036,10432.78,4694.75,3651.47,2086.56,50.09,131.7
